"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/lib/lick-marketing-features3.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/lib/lick-marketing-features3.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 12, 44
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/lib/lick-marketing-features3.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/lib/lick-marketing-features3.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/lib/lick-marketing-features3.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/public-api.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/src/test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 4, 22
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/tsconfig.lib.json", "JSON", 22, 0, 0, 0, 0, 0, 4, 0, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/tsconfig.lib.prod.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/tsconfig.spec.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features3/tslint.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/ng-package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/lib/lick-marketing-features4.component.html", "HTML", 0, 0, 0, 0, 38, 0, 4, 7, 49
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/lib/lick-marketing-features4.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/lib/lick-marketing-features4.component.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 10, 35
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/lib/lick-marketing-features4.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/lib/lick-marketing-features4.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/lib/lick-marketing-features4.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/public-api.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/src/test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 4, 22
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features4/tsconfig.lib.json", "JSON", 22, 0, 0, 0, 0, 0, 4, 0, 26
